transcription,recording_id,input_values,labels,model_transcription
hamburg air two five four six good morning climb to flight level two nine zero ,092_0187,"[-0.40869892 -0.22451852  0.09359519 ...  0.19300339  0.3821836
  0.03516688]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4
 3 3 3 3 4]",ON BOOKAR TWO FIVE FOUR SIX GOOD MORNING CLUB TO FLIGHT LEVELL TWO NINUS ERROL
say again please ,092_0188,"[-0.3790249  -0.72985727 -0.6747984  ... -0.43116435  0.00456267
 -0.07475641]",[3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4],SAGANTRIS
lufthansa four seven three one good morning maintain level three four zero trasadingen nelli ,092_0189,"[-0.4874765  -0.33278775 -0.45567682 ... -0.10010607 -0.4704027
  0.00191383]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4]",LEFT ON ZA FOUR SEVEN THREE ONE GOOD MORNING MET AND LAV A THREE FOUR YER OL RUSDING AN LILY
hamburg air two five four six report your mach number ,092_0190,"[-0.18545315 -0.4597795  -0.55219096 ... -0.01105236 -0.437528
  0.00425452]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4
 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4]",AMBRGET TWO FIVE FOR SIX REPOTO MACH NUMBER
and at level thr= two nine zero ,092_0191,"[-0.28799838 -0.996046   -0.21148367 ... -0.21151534 -1.0832361
  0.00724731]",[3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4],AND IT LEVEL THROUGH TWO NINAS HERO
thank you airfrans three two six one you mach number ,092_0192,"[-0.40569937 -0.58842903 -0.5824601  ... -0.08314936 -0.07116234
 -0.30937457]","[3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4
 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4]",THANK YOU A FRONC TREI TU SIX MONOMACK NUMBER
confirm point five nine okay thanks ,092_0193,"[-0.34819898 -0.5353753  -0.3134707  ...  0.18395874  0.0660578
  0.00361595]",[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4],CON FOM POINT FIVE NINE OR O THANKS
hapag lloyd six five three good morning maintain three one zero trasadingen st prex ,092_0194,"[-0.1384936   0.01075423  0.00333489 ... -0.31205922  0.04437678
  0.00171894]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 3 4 3 3 4 3 3 3 3 4]",UPROT SIX FIVE THREE GOOD MORNING MT AND THREE ONES EROL TRUSTDINGASAMPRE
foxtrot sierra india i'm sorry two nine zero will be final t= cruising level in zurich area ,092_0195,"[-0.17793198 -0.2348873  -0.3884265  ... -0.19423771 -0.03662152
  0.00197061]","[ 3  3  3  3  3  3  3  4  3  3  3  3  3  3  4  3  3  3  3  3  4  3 27  3
  4  3  3  3  3  3  4  3  3  3  4  3  3  3  3  4  3  3  3  3  4  3  3  3
  3  4  3  3  4  3  3  3  3  3  4  3  3  4  3  3  3  3  3  3  3  3  4  3
  3  3  3  3  4  3  3  4  3  3  3  3  3  3  4  3  3  3  3  4]",FOXAZIRENAMA SORRY TO NINAS TERA WILL BE FINAL CRUISING LEVEL IN SUREGERIA
lufthansa triple five zero left heading two five zero ,092_0196,"[-0.06214703 -0.15929647 -0.24867661 ...  0.0672688   0.01410906
  0.00375212]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",LUTANZA TRIPLE FIVE CERO LEFT ADDING TWO FIVE CIRO
air inter three two zero papa hotel is cleared direct to morok ,092_0197,"[-0.26023868 -0.24170984  0.01886728 ... -0.71045566 -0.02961383
 -0.20000322]","[3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",RANTA TRITU CERO PAPA HOTEL IS CLEAR DIRECT TO MOROCK
air malta zero zero four own navigation to frankfurt ,092_0198,"[-0.1582301  -0.03257678 -0.24834059 ...  0.03609666  0.1766736
  0.00392042]","[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 4]",AMALTOCERO CERO FOR ON NVIGATION TO FRANKFORD
contact rhein one two zero nine two good bye ,092_0199,"[-0.2862992  -0.71050435 -0.7086674  ...  0.14172852 -0.40200728
 -0.14024004]","[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3
 3 3 3 4 3 3 3 4]",CONDUCT RINE WANT TO SEE RONINA TOGOBI
station calling ,092_0200,"[-0.32812485 -0.6978031  -0.53142005 ...  0.06014224 -0.23889616
 -0.56612426]",[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4],STERTION COLLING
yeah but since you're going to milan it is not worth the coordination maintain level two nine zero sorry about that ,092_0201,"[-0.01093293 -0.4188708  -0.6478615  ... -0.17037648 -0.45632157
 -0.03835575]","[ 3  3  3  3  4  3  3  3  4  3  3  3  3  3  4  3  3  3 27  3  3  4  3  3
  3  3  3  4  3  3  4  3  3  3  3  3  4  3  3  4  3  3  4  3  3  3  4  3
  3  3  3  3  4  3  3  3  4  3  3  3  3  3  3  3  3  3  3  3  3  4  3  3
  3  3  3  3  3  3  4  3  3  3  3  3  4  3  3  3  4  3  3  3  3  4  3  3
  3  3  4  3  3  3  3  3  4  3  3  3  3  3  4  3  3  3  3  4]",YE BUT SINCE YOUR GOING TO MILAN IT IS NOT WORTH THE CORDINATION MAIN TEN AFUL TWO NANS SERO SORRY ABOUT THAT
transwede three five seven one contact reims one three four decimal four good bye ,092_0202,"[-0.10896059 -0.41841388 -0.113974   ... -0.14903282 -0.17635888
 -0.20409441]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 4 3 3 3 4]",TRANSRET THREE FIVE SEVEN ONE CONTACT GRASS ONE THREE FORTE SMALL FORG MAY
lufthansa four three five six reims one three four four good bye ,092_0203,"[-0.27104342  0.02775081 -0.08685037 ...  0.09770764 -0.08240028
 -0.3093574 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",LUFTANSA FOUR TREE FIVE SIX RAS ONE THREE FOUR FORKPAY
aero lloyd five six zero geneva one three three one five own navigation to st prex ,092_0204,"[-0.34911606 -0.39753097 -0.16012898 ... -0.12769575 -0.04903586
 -0.23956184]","[3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3
 4 3 3 4 3 3 3 3 4]",ROLOIT FIVE SIX ERO GENEVA VANTRY TRE ONE FIVE ONVICATION TO SUMPRY
lufthansa four seven two three descend to flight level three zero zero rate two thousand or more ,092_0205,"[-0.23103915 -0.22000715  0.07770294 ... -0.05202004  0.03509082
 -0.08375104]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",LO TANZA FOUR SEVEN TO THREE DESCENT FLIGHT LEVEL TREE CERO SIRORA TWO THOUSAND NO MORE
lufthansa four seven two three continue descent to level ah two nine zero when passing three one zero rate of descent at your convenience ,092_0206,"[-0.47063333 -0.6572463   0.07708509 ... -0.11660181  0.07518803
  0.10146849]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4
 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",LE FLANZA FOR SEVEN TO THREE CONTINUED DESCEND TO LEVEL LAR TWO NINE AS I ROBE IN PASSING THREE ONES OR O RATE OF DESCENDAT YOUR CONVENIENCE
[EMPTY] ,092_0207,[-1.0483248 -4.756125  -7.7935157 ... -5.524768   1.2679378  1.4083341],[ 3  5 17 23  6 22  3  4],
hamburg air two five four six geneva one three three one five tschuss ,092_0208,"[-0.32651976 -0.32815975 -0.6116214  ... -0.08342342  0.00459197
  0.00220024]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4
 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4]",AMBURGAR TWO FIVE FOUR SIX GENEVA VANTHREE THREE ONE FIVE T
jetcom one three three expect higher in about ah three minutes ,092_0209,"[-0.25341657 -0.16271073 -0.59069294 ... -0.13213266  0.04046708
 -0.15732996]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 4
 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",CHAD COME ONE THREE THREE EXPECTIRING ABOUT THE THREE MINUTES
lufthansa eight two six eight right direct st prex ,092_0210,"[-0.10340586 -0.40885165 -0.34788537 ... -0.14463188 -0.20707938
 -0.15794519]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",LOTANZA H TO SIX EGHT RITE START EAMPE
and geneva one three three one five good bye ,092_0211,"[-0.26462075 -0.3698976   0.22230336 ... -0.03065629 -0.42619923
  0.00524188]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3
 3 3 3 4 3 3 3 4]",AND CHINIVA VANTHREE THREE ONE FIVE
air berlin five zero eight one own navigation to st prex ,092_0212,"[-0.1600047  -0.3821802  -0.43112123 ...  0.29049245  0.3947783
  0.2160473 ]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4 3 3 4 3 3 4 3 3 3 3 4]",ABOLIN FIVE SEROIT ONE ORNIVIGATION TO SAMPRE
airfrans three two six one contact geneva one three three one five good bye ,092_0213,"[-0.0600787  -0.39050317 -0.59874076 ...  0.02333239  0.04252415
 -0.02010927]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3
 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 4]",WHERE FROST THREE TO SIX ONE CONDUCT GENEVA VAN THREE THREE ONE FIVE E
lufthansa three five seven seven turn right to zurich east ,092_0214,"[-0.4776686  -0.44277766 -0.0821961  ... -0.30432743  0.00580731
 -0.07413914]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4]",LOFT UNDER THREE FIVE SEVEN SEVEN TURN RIGHT TO SURKIST
lufthansa three five seven seven due traffic descend to flight level three two zero ,092_0215,"[-0.18099901 -0.4928441  -0.57994884 ...  0.07973487 -0.30624607
 -0.30541393]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 4 3 3 3 3 4]",LETANZE THREE FIVE SEVEN SEVEN GUTRAFIC DE SENT FLAT LOWE THREE TUSIRO
negative descend to level three two zero ,092_0216,"[-0.45676175 -0.73974985 -0.29293    ... -0.02236592 -0.06019922
  0.00759024]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 3 4]",NEGATIVE TY SENTILEL TREACU SYRO
hapag lloyd one seven one good morning climb to flight level two nine zero ,092_0217,"[-0.24843614 -0.31236163 -0.22658844 ... -0.0203319  -0.37866446
  0.00290577]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3
 4]",UPGROTE ONE SEVEN ONE GOOD MORNING CLAMP TO FLIGHT LEVEL TWO NINE AS ZERO
hapag lloyd six five three right to st prex ,092_0218,"[-0.25721708 -0.33860764 -0.29805565 ... -0.25392264  0.05309208
  0.00386786]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3
 3 4 3 3 3 3 4]",APOGLOT SIX FIVE THREE RIGHT TO SUMPREY
negative was for hapag lloyd six five three ,092_0219,"[ 0.04694265 -0.06167787  0.01364074 ...  0.11917934 -0.13455616
 -0.12226632]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 4]",NEGTIVE WOS FOR HAPPEROT SIX FIVE THREE
thank you ,092_0220,"[-0.2657725  -1.1223121  -0.44839695 ... -0.29599744  0.10287632
 -0.2467997 ]",[3 3 3 3 3 4 3 3 3 4],YOU
jetcom one three three climb to flight level three three zero ,092_0221,"[-0.43891186 -0.07580376  0.01252988 ... -0.32064646 -0.17451788
  0.0028605 ]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",JET COME ONE THREE TREE CLAMP TO FLY HT LOVELL TREE TREES YO ROW
lufthansa triple five zero own navigation to st prex ,092_0222,"[-0.20746341 -0.40235057 -0.11113733 ...  0.00325948 -0.02622774
  0.00332315]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4 3 3 4 3 3 4 3 3 3 3 4]",LOTANZA TRIPLE FIVESIRO OR NIVIGATION TO SAMPRI
air berlin five zero eight one ah geneva one three three one five tschuss ,092_0223,"[ 0.02210508 -0.00712474  0.00566317 ...  0.11628023 -0.20886625
 -0.11308469]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3
 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4]",ABOLIN FIVE CIROATE ONE EGENEVAVAN THREE THREE ONE FIVECHES
sabena seven eight one six rhein one two zero nine two good bye ,092_0224,"[-0.28578845 -0.46379918 -0.05640249 ...  0.03985288  0.00217844
  0.00171241]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4]",SOBINA SEVEN EIGTWONTE SIX RINE ONE TOSERO NINE O TUGE BY
speedway three four six ah nine good morning roger ,092_0225,"[-0.2984179  -0.12214174 -0.11071794 ... -0.2697696  -0.00254243
  0.05094419]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 4
 3 3 3 3 3 3 3 4 3 3 3 3 3 4]",SPEED WIT THREE FOR SIX ON NINE ER GOODS MORNING ROCHER
condor one zero four good morning squawk seven five three one ,092_0226,"[-0.17089525 -0.3859458  -0.17859772 ... -0.12628244  0.08408199
  0.0296905 ]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4]",CONTO ONCEUR O FOUR GOOD MORNINGSCORK SEVEN FIVE THREE ONE
jetcom one three three climb to flight level three four zero ,092_0227,"[-0.10830607 -0.33680546 -0.3490193  ... -0.18671817  0.06863014
 -0.13746461]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",JUT COME ONE THREE THREE CLUMP TO FLIGHT OVER THREE FOUR ZERO
cotam one one four one good morning maintain three two zero zurich east fusse ,092_0228,"[-0.31808448 -0.11096615  0.01505318 ... -0.24291006  0.02296044
  0.00227781]","[3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 4]",COAT AND ONE ONE FOUR ONE GOOD MORNING METENTRY TO SEROSO RICISTFUSE
lufthansa four three nine three good morning radar contact ,092_0229,"[-0.4719097  -0.7615355  -0.40415955 ...  0.10542579 -0.2824666
 -0.38394094]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4
 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",LEFTONSAFORTE NINE TREE GOOD MORNING READ OUR CONTACT
swissair six five five two stop climb level two seven zero will be final level due traffic ,092_0230,"[-0.12485217 -0.083054   -0.07537557 ... -0.07018894  0.05073119
 -0.08636626]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",SPECZ A SIX FIE FIVE TWO STOP CLUM LEVEL TWO SALENSERO WILL BE FINAL LEVEL U TRAFFIC
airfrans one five five four good morning descend to flight level three three zero rate two thousand or more ,092_0231,"[-0.1922049  -0.45099357 -0.38367987 ... -0.37816605  0.12011579
  0.02551189]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3
 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",A FROST ONE FIVE FIVE FOUR GOOD MORNING DES SENT FLIGT OVER THREE THREES YEUR OLD GREAT TWO THOUSAND NO MORE
condor one zero four climb to flight level ah three one zero ,092_0232,"[-0.11379681 -0.6141083  -0.5701568  ... -0.26534456  0.19470307
 -0.13021931]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",CONDOUANSIRO FOUR CLIME TO FLIGHT LAVELLA TRE WANSERO
jetcom one three three for further climb zurich one three three four good bye ,092_0233,"[-0.11042701 -0.53304416 -0.1394681  ... -0.33737752 -0.4023884
 -0.03155077]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4
 3 3 3 4]",CHEDCOMBE ONE THREE THREE FOR FURTE CLIME THURE ONE THREE THREE FORG MAY
airfrans three five six good morning squawk seven three five correction seven five three six ,092_0234,"[-0.40750137 -0.5864864  -0.63781863 ... -0.5678315  -0.37311268
  0.00224371]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4]",AT FRANCE THREE FIVE SIX GOOD MORNING SQUOK SEVEN THREE FIVE CORRECTION SEVEN FIVE THREY SIX
air inter three two zero papa hotel contact reims one three four four good bye ,092_0235,"[-0.51444733 -0.21268016 -0.19804275 ... -0.06158843  0.01199997
  0.00245306]","[3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3
 4 3 3 3 4]",RANTA TRICI SIRO PAPA HOTEL CONTACTRANS ONE THREE FOUR FOURTMA
airfrans one five five f= four descend to flight level two nine zero ,092_0236,"[-0.11884886 -0.00205004 -0.33966008 ...  0.04300224 -0.03256978
  0.00270097]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",AFROSS ONE FIVE FIVE FORTY CENT FLATAL TO NINAS ERO
alitalia one one seven good morning radar contact bre= break condor one zero four climb to flight level three five zero give me a good rate until reaching please ,092_0237,"[-0.16095975 -0.33027187 -0.48561397 ... -0.06009097  0.16070881
  0.00096542]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 4 3 3 3 3 3 3 4]",I'LL TELLYOU ONE ONE SEVEN GOOD MORNING READ OUR CONTACT BREAK BREAK CONDO ONE CEERO FOUR CLIME TO FLIGHT OVEL THREE FIVE CERO GIVE ME A GOOD RATE UNTIL REACHING PLACE
thank you ,092_0238,"[-1.0974693  -2.27975    -0.87463456 ...  0.0501272  -0.53831124
 -1.0120538 ]",[3 3 3 3 3 4 3 3 3 4],
transwede one zero seven good morning radar contact ,092_0239,"[-0.06151246 -0.63522565 -0.20861696 ... -0.12647092  0.08796018
  0.00457506]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",TRANSMITE ONES ER O SEVEN GOOD MORNING REK OUR CONTACT
swissair four eight eight good morning roger ,092_0240,"[-0.2122024  -0.5612706  -0.14210695 ... -0.01909595 -0.30747563
  0.00632763]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4]",SIS AFOUR EIGHT EIGHT GOOD MORNING ROTTER
hapag lloyd one seven one ah geneva one three three one five good bye ,092_0241,"[-0.04307793 -0.13089864 -0.06931859 ... -0.02464425 -0.15561016
  0.00254315]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",UPGOT ONE SEVEN ONE A CENEVA ON THREE THREE ONE FIVE
condor one zero four contact now zurich on one three three decimal four good bye ,092_0242,"[-0.45154738 -0.8796216   0.47893655 ... -0.00583401  0.03355195
  0.00191227]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3
 3 3 4 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 4 3 3 3 4]",CONDOANTI RO FOUR CONDUCT NOW THREE YOND ONE TREE TREAT A SMALL FORK MINE
